ppt_id,dev_id,month,stream,perfect,nan,unclear,total_rows,total_dupes
mgh049,2KPY31118C,20190801_20190831,acc,0,0,0,37015120,0
mgh049,2KPY31118C,20190801_20190831,eda,0,0,0,4583761,0
mgh049,2KPY31118C,20190801_20190831,temp,0,0,0,1145990,0
mgh050,2KPY311175,20190801_20190831,acc,0,0,0,333590,0
mgh050,2KPY311175,20190801_20190831,eda,0,0,0,41236,0
mgh050,2KPY311175,20190801_20190831,temp,0,0,0,10310,0
mgh051,2KPY31119J,20190801_20190831,acc,0,0,0,21165648,0
mgh051,2KPY31119J,20190801_20190831,eda,0,0,0,2633181,0
mgh051,2KPY31119J,20190801_20190831,temp,0,0,0,658312,0
mgh052,2KNY3111M6,20190801_20190831,acc,0,0,0,1247120,0
mgh052,2KNY3111M6,20190801_20190831,eda,0,0,0,152737,0
mgh052,2KNY3111M6,20190801_20190831,temp,0,0,0,38185,0
mgh053,2KPY31118J,20190801_20190831,acc,0,0,0,4532360,0
mgh053,2KPY31118J,20190801_20190831,eda,0,0,0,569010,0
mgh053,2KPY31118J,20190801_20190831,temp,0,0,0,142255,0
mgh054,2KPY311184,20190801_20190831,acc,0,0,0,20814560,0
mgh054,2KPY311184,20190801_20190831,eda,0,0,0,2540213,0
mgh054,2KPY311184,20190801_20190831,temp,0,0,0,635070,0
fc002,2KNY3111YJ,20190901_20190930,acc,0,0,0,59618202,0
fc002,2KNY3111YJ,20190901_20190930,eda,0,0,0,7418046,0
fc002,2KNY3111YJ,20190901_20190930,temp,0,0,0,1854563,0
fc003,2KPY31117N,20190901_20190930,acc,0,0,0,73514760,0
fc003,2KPY31117N,20190901_20190930,eda,0,0,0,9058122,0
fc003,2KPY31117N,20190901_20190930,temp,0,0,0,2264593,0
fc006,2KPY311186,20190901_20190930,acc,0,0,0,17020,0
fc006,2KPY311186,20190901_20190930,eda,0,0,0,2093,0
fc006,2KPY311186,20190901_20190930,temp,0,0,0,520,0
fc007,2KNY3111HT,20190901_20190930,acc,0,0,0,3184310,0
fc007,2KNY3111HT,20190901_20190930,eda,0,0,0,401037,0
fc007,2KNY3111HT,20190901_20190930,temp,0,0,0,100265,0
fc008,2KNY3111YD,20190901_20190930,acc,0,0,0,64840,0
fc008,2KNY3111YD,20190901_20190930,eda,0,0,0,8099,0
fc008,2KNY3111YD,20190901_20190930,temp,0,0,0,2025,0
fc009,2KNY3111Y8,20190901_20190930,acc,0,0,0,642540,0
fc009,2KNY3111Y8,20190901_20190930,eda,0,0,0,81341,0
fc009,2KNY3111Y8,20190901_20190930,temp,0,0,0,20345,0
fc012,2KPY31118K,20190901_20190930,acc,0,0,0,162540,0
fc012,2KPY31118K,20190901_20190930,eda,0,0,0,20384,0
fc012,2KPY31118K,20190901_20190930,temp,0,0,0,5095,0
fc013,2KPY31113R,20190901_20190930,acc,0,0,0,3079950,0
fc013,2KPY31113R,20190901_20190930,eda,0,0,0,388674,0
fc013,2KPY31113R,20190901_20190930,temp,0,0,0,97170,0
mgh016,2KNY31121Q,20190901_20190930,acc,0,0,0,37618763,0
mgh016,2KNY31121Q,20190901_20190930,eda,0,0,0,4593880,0
mgh016,2KNY31121Q,20190901_20190930,temp,0,0,0,1148506,0
mgh024,2KPY31117W,20190901_20190930,acc,0,0,0,25554815,0
mgh024,2KPY31117W,20190901_20190930,eda,0,0,0,3148908,0
mgh024,2KPY31117W,20190901_20190930,temp,0,0,0,787248,0
mgh026,2KPY31116L,20190901_20190930,acc,0,0,0,55396854,0
mgh026,2KPY31116L,20190901_20190930,eda,0,0,0,6771356,0
mgh026,2KPY31116L,20190901_20190930,temp,0,0,0,1692881,0
mgh027,2KPY311188,20190901_20190930,acc,0,0,0,78649023,0
mgh027,2KPY311188,20190901_20190930,eda,0,0,0,9678338,0
mgh027,2KPY311188,20190901_20190930,temp,0,0,0,2419713,0
mgh028,2KPY311174,20190901_20190930,acc,0,0,0,15093987,0
mgh028,2KPY311174,20190901_20190930,eda,0,0,0,1848828,0
mgh028,2KPY311174,20190901_20190930,temp,0,0,0,462225,0
mgh029,2KPY31117Y,20190901_20190930,acc,0,0,0,79807188,0
mgh029,2KPY31117Y,20190901_20190930,eda,0,0,0,9960236,0
mgh029,2KPY31117Y,20190901_20190930,temp,3,0,3,2490116,6
mgh032,2KPY31117T,20190901_20190930,acc,0,0,0,77897860,0
mgh032,2KPY31117T,20190901_20190930,eda,0,0,0,9692537,0
mgh032,2KPY31117T,20190901_20190930,temp,0,0,0,2423223,0
mgh037,2KPY31116K,20190901_20190930,acc,0,0,0,18579325,0
mgh037,2KPY31116K,20190901_20190930,eda,0,0,0,2307501,0
